P homeless,P exit,P undetected,Simulation,# Consecutive,# Episodic,# Chronic,# Ever Homeless,# Undetected Chronic,Frac Undetected Chronic,Wall Time (s),Episodic as % Chronic
0.0025,0.0025,0.0025,0,9749,78,9827,18757,24,0.3076923076923077,1.30375993,0.007937315559173706
0.0025,0.0025,0.005,0,10354,32,10386,18709,9,0.28125,1.5044828389999996,0.0030810706720585403
0.0025,0.005,0.0025,0,5976,402,6378,18748,129,0.3208955223880597,1.4851500750000008,0.06302916274694262
0.0025,0.0025,0.0075,0,10669,25,10694,18665,4,0.16,1.6667535040000008,0.0023377594913035348
0.0025,0.0075,0.0025,0,4104,812,4916,18648,228,0.28078817733990147,1.5663493979999998,0.16517493897477625
0.0025,0.005,0.005,0,6504,300,6804,18692,71,0.23666666666666666,1.7373474040000003,0.04409171075837742
0.0025,0.0075,0.005,0,4616,683,5299,18746,139,0.20351390922401172,1.682036365,0.1288922438195886
0.0025,0.01,0.0025,0,3205,1166,4371,18730,336,0.2881646655231561,1.6333030000000006,0.2667581789064287
0.0025,0.005,0.0075,0,6654,245,6899,18684,26,0.10612244897959183,1.7972705119999999,0.03551239310044934
0.0025,0.0025,0.01,0,10695,24,10719,18661,4,0.16666666666666666,1.9170597359999997,0.002239014833473272
0.0025,0.0075,0.0075,0,4475,674,5149,18687,101,0.14985163204747776,1.8155360169999994,0.1308992037288794
0.0025,0.005,0.01,0,6584,217,6801,18657,23,0.10599078341013825,1.891981832,0.031907072489339806
0.0025,0.0075,0.01,0,4567,600,5167,18641,78,0.13,1.937743546,0.11612154054577124
0.0025,0.0025,0.0125,0,10811,21,10832,18713,2,0.09523809523809523,2.1693114069999995,0.0019387001477104875
0.0025,0.005,0.0125,0,6555,194,6749,18677,22,0.1134020618556701,2.087548526,0.028744999259149504
0.0025,0.0075,0.0125,0,4407,575,4982,18740,76,0.13217391304347825,2.075777372,0.11541549578482538
0.0025,0.01,0.005,0,3420,1046,4466,18722,188,0.17973231357552583,1.850434829000001,0.23421406180026869
